Structure Number,Tower Type,Assembly Type,Foundation Type,Tower Steel,Foundations,Date Fdn Installed,Assembly,Erected,Date Tower Stood,Strung/Clipped,OPGW Splice,Final Inspection,,,Foundation,Tower Assembly,Tower Erection,Stringing [km],Final Inspection,,,Req'd Cleairng on Span (est) [ha],% Clearing Complete on Span,equivalent ha complete,Report #,,ahead span [m],AMC / Diverter Reqd,AMC/Diverter Completed,
De Salaberry Sta.,Gantry,--,--,,NA,NA,NA,NA,,Not In Progress,Not In Progress,Not In Progress,,Total,203,203,203,78.7,204,Completed,On-Site,,,0,,,161.89,NA,NA,
1,D-204-0+0,Lattice,HELICAL,,Completed,24-Nov-21,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,Actual Progress,153,97,95,13.56,32,In Progress,Gate 6,,,0,,,208.62,NA,NA,
2,A-210-5+0,Lattice,HELICAL,,Completed,23-Nov-21,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,%Completed,75%,48%,47%,17%,16%,Not In Progress,,,,0,,,208.61,NA,NA,
3,F-207-3+9,Lattice,HELICAL,,Completed,26-Nov-21,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,In Progress,8,1,0,3.04,32,,,,,0,,,381.99,NA,NA,
4,A-210-5+6,Lattice,HELICAL,,Completed,27-Nov-21,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,404.84,NA,NA,
5,A-210-5+6,Lattice,HELICAL,,Completed,29-Nov-21,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,404.84,NA,NA,
6,A-210-5+6,Lattice,HELICAL,,Completed,1-Dec-21,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,404.85,NA,NA,
7,A-210-5+6,Lattice,HELICAL,,Completed,2-Dec-21,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,404.85,NA,NA,
8,A-210-5+6,Lattice,HELICAL,,Completed,3-Dec-21,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,404.84,NA,NA,
9,A-210-5+6,Lattice,ARTESIAN HELICAL,,Completed,7-Dec-21,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,404.84,NA,NA,
10,A-210-5+6,Lattice,ARTESIAN HELICAL,,Completed,8-Dec-21,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,404.85,NA,NA,
11,A-210-5+6,Lattice,HELICAL,,Completed,9-Dec-21,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,404.84,NA,NA,
12,A-210-5+6,Lattice,HELICAL,,Completed,9-Dec-21,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,404.84,NA,NA,
13,A-210-5+6,Lattice,HELICAL,,Completed,10-Dec-21,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,404.84,NA,NA,
14,A-210-5+6,Lattice,HELICAL,,Completed,11-Dec-21,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,404.84,NA,NA,
15,A-210-5+6,Lattice,HELICAL,,Completed,14-Dec-21,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,404.85,NA,NA,
16,A-210-5+6,Lattice,HELICAL,,Completed,15-Dec-21,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,404.84,NA,NA,
17,A-210-5+6,Lattice,HELICAL,,Completed,16-Dec-21,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,404.85,NA,NA,
18,A-210-5+6,Lattice,HELICAL,,Completed,11-Jan-22,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,384.99,NA,NA,
19,F-207-3+9,Lattice,HELICAL,,Completed,17-Jan-22,Not In Progress,Not In Progress,,Not In Progress,Not In Progress,Not In Progress,,,,,,,,,,,,0,,,392.78,NA,NA,
20,A-210-5+6,Lattice,HELICAL,,Completed,12-Jan-22,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,407.50,NA,NA,
21,A-210-5+6,Lattice,HELICAL,,Completed,11-Jan-22,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,419.90,NA,NA,
22,A-210-5+6,Lattice,HELICAL,,Completed,8-Jan-22,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,413.70,NA,NA,
23,A-210-5+6,Lattice,HELICAL,,Completed,19-Jan-22,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,413.70,NA,NA,
24,A-210-5+6,Lattice,HELICAL,,Completed,29-Jan-22,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,388.70,NA,NA,
25,F-207-3+9,Lattice,CIP,,Not In Progress,,Not In Progress,Not In Progress,,Not In Progress,Not In Progress,Not In Progress,,,,,,,,,,,,0,,,379.13,NA,NA,
26,A-210-5+6,Lattice,HELICAL,,Completed,24-Jan-22,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,398.34,NA,NA,
27,A-210-5+6,Lattice,HELICAL,,Completed,26-Jan-22,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,405.58,NA,NA,
28,A-210-5+6,Lattice,PRE-CAST,,Completed,31-Jan-22,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,400.95,NA,NA,
29,A-210-5+6,Lattice,PRE-CAST,,Completed,28-Jan-22,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,371.90,NA,NA,
30,A-210-5+3,Lattice,CIP,,Not In Progress,,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,371.90,B100,Not In Progress,
31,A-210-5+3,Lattice,CIP,,Not In Progress,,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,371.90,NA,NA,
32,A-210-5+3,Lattice,HELICAL & CIP,,In Progress,Hel done. CIP not started,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,371.90,NA,NA,
33,A-210-5+3,Lattice,PRE-CAST,,Completed,26-Jan-22,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,0.163473,100%,0.163473,,,371.90,NA,NA,
34,A-210-5+3,Lattice,HELICAL & CIP,,In Progress,Hel done. CIP not started,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,371.90,NA,NA,
35,A-210-5+3,Lattice,CIP,,Not In Progress,,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,371.90,NA,NA,
36,A-210-5+3,Lattice,HELICAL,,Completed,31-Jan-22,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,374.90,NA,NA,
37,A-210-5+3,Lattice,PRE-CAST,,Completed,7-Feb-22,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,377.74,NA,NA,
38,A-210-5+3,Lattice,PRE-CAST,,Completed,4-Feb-22,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,0.217453,100%,0.217453,,,379.36,NA,NA,
39,A-210-5+6,Lattice,PRE-CAST,,Completed,20-Jan-22,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,0.413749,100%,0.413749,,,366.03,AP,Not In Progress,
40,F-207-3+9,Lattice,PRE-CAST - Option 2,,Completed,18-Jan-22,Not In Progress,Not In Progress,,Not In Progress,Not In Progress,Not In Progress,,,,,,,,,,0.259846,100%,0.259846,,,393.17,B100,Not In Progress,
41,A-210-5+15,Lattice,HELICAL & CIP,,In Progress,Hel done. CIP not started,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,2.003395,100%,2.003395,,,521.67,B100,Not In Progress,
42,A-210-5+15,Lattice,ARTESIAN HELICAL,,Not In Progress,,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,0.23635,100%,0.23635,,,367.43,NA,NA,
43,A-210-5+0,Lattice,ARTESIAN HELICAL,,Not In Progress,,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,0.756487,100%,0.756487,,,358.20,NA,NA,
44,F-207-3+9,Lattice,PRE-CAST - Option 1,,Completed,14-Jan-22,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,1.252791,100%,1.252791,,,358.27,NA,NA,
45,A-210-5+0,Lattice,PRE-CAST,,Completed,17-Dec-21,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,1.250637,100%,1.250637,,,352.10,NA,NA,
46,A-210-5+0,Lattice,HELICAL,,Not In Progress,,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,1.298129,100%,1.298129,,,345.37,NA,NA,
47,A-210-5+0,Lattice,PRE-CAST,,Completed,16-Dec-21,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,1.514971,100%,1.514971,,,370.63,NA,NA,
48,A-210-5+3,Lattice,PRE-CAST,,Completed,14-Dec-21,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,1.144813,100%,1.144813,,,380.00,NA,NA,
49,A-210-5+3,Lattice,PRE-CAST,,Completed,11-Dec-21,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,1.422455,100%,1.422455,,,382.00,NA,NA,
50,A-210-5+3,Lattice,HELICAL,,Not In Progress,,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,1.244803,100%,1.244803,,,392.14,NA,NA,
51,A-210-5+6,Lattice,PRE-CAST,,Completed,9-Dec-21,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,1.215617,100%,1.215617,,,397.33,NA,NA,
52,A-210-5+3,Lattice,PRE-CAST,,Completed,4-Dec-21,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,1.008593,100%,1.008593,,,398.53,B100,Not In Progress,
53,A-210-5+3,Lattice,PRE-CAST,,Completed,1-Dec-21,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,0.539773,100%,0.539773,,,395.61,NA,NA,
54,A-210-5+6,Lattice,HELICAL,,Not In Progress,,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,0.490988,100%,0.490988,,,385.23,NA,NA,
55,F-207-3+9,Lattice,PRE-CAST - Option 1,,Completed,15-Feb-22,Not In Progress,Not In Progress,,Not In Progress,Not In Progress,Not In Progress,,,,,,,,,,,,0,,,351.76,NA,NA,
56,A-210-5+6,Lattice,HELICAL,,Not In Progress,,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,394.02,NA,NA,
57,A-210-5+9,Lattice,ARTESIAN HELICAL,,Not In Progress,,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,1.037853,100%,1.037853,,,411.01,B100,Not In Progress,
58,A-210-5+9,Lattice,ARTESIAN HELICAL,,Not In Progress,,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,0.449044,100%,0.449044,,,362.08,B100,Not In Progress,
59,A-210-5+3,Lattice,HELICAL,,Not In Progress,,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,0.680736,100%,0.680736,,,360.94,B100,Not In Progress,
60,A-210-5+0,Lattice,HELICAL,,Not In Progress,,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,349.52,NA,NA,
61,A-210-5+6,Lattice,HELICAL,,Not In Progress,,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,360.50,NA,NA,
62,A-210-5+3,Lattice,HELICAL,,Not In Progress,,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,0.245034,100%,0.245034,,,355.00,NA,NA,
63,A-210-5+3,Lattice,HELICAL,,Completed,23-Feb-22,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,1.179696,100%,1.179696,,,381.01,B100,Not In Progress,
64,A-210-5+3,Lattice,HELICAL,,Completed,2-Mar-22,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,0.189249,100%,0.189249,,,390.00,B100,Not In Progress,
65,A-210-5+9,Lattice,HELICAL,,Completed,22-Feb-22,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,409.00,NA,NA,
66,A-210-5+9,Lattice,HELICAL,,Completed,24-Feb-22,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,395.00,NA,NA,
67,A-210-5+6,Lattice,HELICAL,,Completed,26-Feb-22,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,357.01,NA,NA,
68,F-207-3+9,Lattice,HELICAL,,Completed,1-Mar-22,Not In Progress,Not In Progress,,Not In Progress,Not In Progress,Not In Progress,,,,,,,,,,,,0,,,384.67,NA,NA,
69,A-210-5+6,Lattice,CIP,,Not In Progress,,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,382.80,NA,NA,
70,A-210-5+3,Lattice,CIP,,Not In Progress,,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,393.35,NA,NA,
71,A-210-5+6,Lattice,CIP,,Not In Progress,,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,416.32,NA,NA,
72,A-210-5+6,Lattice,CIP,,Not In Progress,,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,395.37,NA,NA,
73,A-210-5+3,Lattice,CIP,,Not In Progress,,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,398.34,NA,NA,
74,A-210-5+6,Lattice,CIP,,Not In Progress,,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,399.35,NA,NA,
75,A-210-5+3,Lattice,CIP,,Not In Progress,,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,397.35,NA,NA,
76,A-210-5+6,Lattice,CIP,,Not In Progress,,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,409.99,NA,NA,
77,A-210-5+6,Lattice,CIP,,Not In Progress,,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,410.00,NA,NA,
78,A-210-5+6,Lattice,CIP,,Not In Progress,,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,410.00,NA,NA,
79,A-210-5+6,Lattice,CIP,,Not In Progress,,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,410.00,NA,NA,
80,A-210-5+6,Lattice,CIP,,Not In Progress,,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,410.00,NA,NA,
81,A-210-5+6,Lattice,CIP,,Not In Progress,,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,DONE,,410.00,NA,NA,
82,A-210-5+6,Lattice,CIP,,Not In Progress,,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,410.00,NA,NA,
83,A-210-5+6,Lattice,CIP,,Not In Progress,,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,410.00,NA,NA,
84,A-210-5+6,Lattice,CIP,,Not In Progress,,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,391.68,NA,NA,
85,A-210-5+3,Lattice,CIP,,Not In Progress,,Not In Progress,Not In Progress,,Not In Progress,Not In Progress,Not In Progress,,,,,,,,,,,,0,,,375.82,NA,NA,
86,A-210-5+3,Lattice,CIP,,Not In Progress,,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,375.90,NA,NA,
87,A-210-5+3,Lattice,CIP,,Not In Progress,,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,375.90,NA,NA,
88,A-210-5+3,Lattice,CIP,,Not In Progress,,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,368.80,NA,NA,
89,A-210-5+3,Lattice,CIP,,Not In Progress,,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,375.90,NA,NA,
90,A-210-5+3,Lattice,CIP,,Not In Progress,,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,371.90,NA,NA,
91,A-210-5+3,Lattice,CIP,,Not In Progress,,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,374.50,NA,NA,
92,A-210-5+3,Lattice,CIP,,Not In Progress,,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,388.20,NA,NA,
93,A-210-5+6,Lattice,CIP,,Not In Progress,,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,410.00,NA,NA,
94,A-210-5+6,Lattice,CIP,,Not In Progress,,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,410.00,NA,NA,
95,A-210-5+6,Lattice,CIP,,In Progress,,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,410.00,NA,NA,
96,A-210-5+6,Lattice,CIP,,In Progress,,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,410.00,NA,NA,
97,A-210-5+6,Lattice,CIP,,In Progress,,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,DONE,,410.00,NA,NA,
98,A-210-5+6,Lattice,CIP,,In Progress,,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,410.00,NA,NA,
99,A-210-5+6,Lattice,CIP,On-Site,Completed,16-Mar-22,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,410.00,NA,NA,
100,A-210-5+6,Lattice,CIP,On-Site,Completed,16-Mar-22,Not In Progress,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,389.98,NA,NA,
